Sequence_id	Database_id	Percentage_identity	E-value	Classification
142|DICE_READ_00250129	3439	95.81	9e-97	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
143|DICE_READ_00249708	101111	99.22	2e-138	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
144|DICE_READ_00251574	156301	94.85	7e-101	Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_3601
145|DICE_READ_00258306	8878	94.34	1e-112	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
146|DICE_READ_00244688	101620	97.37	2e-113	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gilvibacter; otu_835
147|DICE_READ_00251224	116532	96.96	2e-129	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
148|DICE_READ_00241117	139292	92.81	6e-108	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Muricauda; Unclassified; otu_852
149|DICE_READ_00256311	159244	91.24	5e-96	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Saprospiraceae; Aureispira; otu_1010
150|DICE_READ_00242502	8026	95.26	9e-94	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
151|DICE_READ_00237292	58611	92.8	3e-103	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flammeovirgaceae; Rapidithrix; otu_945
152|DICE_READ_00260349	195962	95.26	3e-122	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
153|DICE_READ_00257324	8100	96.23	4e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
154|DICE_READ_00256357	143237	94.21	2e-101	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
155|DICE_READ_00235030	87543	92.15	2e-89	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
156|DICE_READ_00252856	2833	96.65	5e-130	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Pirellula; Unclassified; otu_2083
157|DICE_READ_00249978	101111	98.84	2e-138	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
158|DICE_READ_00244181	162614	97.33	1e-111	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
159|DICE_READ_00265240	101111	95.61	2e-91	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
160|DICE_READ_00244164	46292	97.31	8e-91	Bacteria; Unclassified; otu_205
161|DICE_READ_00261972	118817	95.33	2e-116	Bacteria; Unclassified; otu_205
162|DICE_READ_00258777	101111	98.2	4e-146	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
163|DICE_READ_00255800	162614	97.37	2e-113	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
164|DICE_READ_00260091	109769	91.04	5e-68	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; Unclassified; otu_2163
165|DICE_READ_00260434	169976	97.31	1e-108	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
166|DICE_READ_00255884	113920	89.84	5e-77	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas; Unclassified; otu_3258
167|DICE_READ_00249886	51823	91.24	2e-95	Eukaryota; Cryptophyta; Cryptomonadaceae; Pyrenomonas; otu_3662
168|DICE_READ_00259452	68830	97.45	5e-117	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
169|DICE_READ_00256626	162509	93.57	8e-101	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia; Unclassified; otu_2175
170|DICE_READ_00244578	61204	98.95	7e-154	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
171|DICE_READ_00257309	168296	93.75	9e-91	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
172|DICE_READ_00244247	8494	95.86	9e-76	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
173|DICE_READ_00267594	119998	99.29	4e-155	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
174|DICE_READ_00264120	162614	98.55	4e-108	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
175|DICE_READ_00261342	143237	92.68	2e-92	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
176|DICE_READ_00240026	119998	97.09	2e-100	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
177|DICE_READ_00239902	8100	96.15	9e-97	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
178|DICE_READ_00262752	118817	95.08	6e-117	Bacteria; Unclassified; otu_205
179|DICE_READ_00263218	234617	99.22	3e-140	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
